Section,Portal,Module,Task / Feature,Status,Pri,Route / Page,API Endpoint(s)
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,API Client,"Auto-inject X-Organisation-Id header on every authenticated request (active org from /me), mirroring X-Portal-Type; per-call header still overrides",Done,1,"lib/api/active-org.js, lib/api/client.js",* (all proxied calls)
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Storage,S3 presigned-upload service - request upload-url (proxy) + direct S3 PUT via fetch with Content-Type; durable URL derived from uploadUrl (query stripped),Done,1,features/storage/,POST /api/v1/storage/upload-url -> PUT {uploadUrl}
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Storage,"useUploadFile TanStack mutation - returns durable public URL, error toasts; CORS handled by S3 bucket policy",Done,1,features/storage/queries/,PUT {presigned S3 url}
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,UI / Avatar,"Avatar refactor - optional async upload, optimistic preview, spinner loading, auto-revert on error, S3/next-image host handling (backward compatible)",Done,1,components/ui/Avatar.jsx,-
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Profile,"User avatar upload - upload to S3 then persist avatarUrl (provider, employer, flow, apprentice)",Done,1,/settings/profile,PATCH /api/v1/auth/me { avatarUrl }
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider/Employer/Flow,Organisation,Organisation logo upload - upload to S3 then persist logoUrl (apprentice excluded - no org),Done,1,/settings/organisation,PATCH /api/v1/organisations/{id} { logoUrl }
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,Provider/Employer/Flow,Organisation,"Create-organisation modal redesign - removed broken green side panel, compact single-column layout, portal-aware brand label",Done,2,dashboard (modal),POST /api/v1/organisations
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Notifications,Notifications feature - service + TanStack Query hooks (list/unread-count/mark-read/mark-all-read),Done,1,features/notifications/,GET /api/v1/notifications
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Notifications,"Notifications panel - All/Unread filter, mark-as-read, mark-all, paginated, per-page",Done,1,/settings/notifications,GET /api/v1/notifications?organisationId=&unreadOnly=&page=&perPage=
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Notifications,Mark single notification as read (row click),Done,1,/settings/notifications,PATCH /api/v1/notifications/:id/read
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Notifications,Mark all notifications as read,Done,1,/settings/notifications,PATCH /api/v1/notifications/read-all
RECENTLY COMPLETED - Major API-integrated features shipped this cycle,All,Notifications,Header bell live unread-count badge (60s poll + focus refetch),Done,1,layout/dashboard/HeaderNotifications.jsx,GET /api/v1/notifications?unreadOnly=true
